frame.time,ip.src,tcp.srcport,ip.dst,tcp.dstport,http.request.method,http.request.uri,http.response.code
Jul 23, 2026 15:55:09.991305000 UTC,127.0.0.1,55964,127.0.0.1,8082,GET,/,
Jul 23, 2026 15:55:09.992919000 UTC,127.0.0.1,8082,127.0.0.1,55964,,,200
Jul 23, 2026 15:55:10.009495000 UTC,127.0.0.1,53366,127.0.0.1,8081,GET,/,
Jul 23, 2026 15:55:10.011215000 UTC,127.0.0.1,8081,127.0.0.1,53366,,,200
Jul 23, 2026 15:55:10.028643000 UTC,127.0.0.1,55972,127.0.0.1,8082,GET,/,
Jul 23, 2026 15:55:10.029888000 UTC,127.0.0.1,8082,127.0.0.1,55972,,,200
Jul 23, 2026 15:55:10.045457000 UTC,127.0.0.1,53368,127.0.0.1,8081,GET,/,
Jul 23, 2026 15:55:10.046769000 UTC,127.0.0.1,8081,127.0.0.1,53368,,,200
Jul 23, 2026 15:55:10.061531000 UTC,127.0.0.1,55982,127.0.0.1,8082,GET,/,
Jul 23, 2026 15:55:10.063079000 UTC,127.0.0.1,8082,127.0.0.1,55982,,,200
Jul 23, 2026 15:55:10.077752000 UTC,127.0.0.1,53382,127.0.0.1,8081,GET,/,
Jul 23, 2026 15:55:10.079105000 UTC,127.0.0.1,8081,127.0.0.1,53382,,,200
Jul 23, 2026 15:55:10.094369000 UTC,127.0.0.1,55992,127.0.0.1,8082,GET,/,
Jul 23, 2026 15:55:10.095604000 UTC,127.0.0.1,8082,127.0.0.1,55992,,,200
Jul 23, 2026 15:55:10.110327000 UTC,127.0.0.1,53390,127.0.0.1,8081,GET,/,
Jul 23, 2026 15:55:10.111261000 UTC,127.0.0.1,8081,127.0.0.1,53390,,,200
